"NUTS_ID";"Land";"CDU";"AfD";"SPD";"Grüne";"Linke";"SSW"
"DE1";"Baden-Württemberg";29;19;13;12;6;0
"DE2";"Bayern";44;22;14;14;7;0
"DE3";"Berlin";5;4;4;5;6;0
"DE4";"Brandenburg";4;8;4;2;3;0
"DE5";"Bremen";1;1;1;1;1;0
"DE6";"Hamburg";3;2;3;3;2;0
"DE7";"Hessen";15;9;10;7;4;0
"DE9";"Niedersachsen";21;13;17;8;6;0
"DE8";"Mecklenburg-Vorpommern";3;5;2;1;2;0
"DEA";"Nordrhein-Westfalen";47;26;31;19;13;0
"DEB";"Rheinland-Pfalz";11;7;7;4;2;0
"DEC";"Saarland";2;2;2;1;1;0
"DED";"Sachsen";7;14;3;2;4;0
"DEE";"Sachsen-Anhalt";4;7;2;1;2;0
"DEF";"Schleswig-Holstein";8;5;5;4;2;1
"DEG";"Thüringen";4;8;2;1;3;0
