obec;pou;AB;BUS;M;MOT;NA;NAA;NAE;NN;NAN;NNA;NNT;NS;OA;OSO;OAE;OV;PN;PNA;PNT;PS;SA;SN;SNV;SP;SPT;SS;TN;TR;VD;VN;PTA;ABT;MM;MMK;MMP;MS;MST;MTR;MTS;MTT;MTV;NAC;NAG;NAI;NAK;NAM;NAP;NAR;NAS;NAU;NAV;NAW;NAX;NC;NJ;NK;NNR;NP;NPC;NPR;NT;NTC;NTK;NTN;NV;OAD;OAG;OAK;OAM;OAO;OAR;OAS;OAV;P;PA;PD;PNC;PNJ;PNK;PNN;PNP;PNS;PNU;PNV;PO;POC;PON;POO;PPN;PRS;PT;PTC;PTN;PTO;PTS;SAA;SAC;SAE;SAG;SAJ;SAP;SAR;SAS;SAV;SAW;T;TJE;TKO;TKU;TMA;TP;TPA;VMB;VMN;VMP;VZU;.;1;BUD;JIV;JTK;MCT;MKL;MOP;MPV;NAT;NSA;NTA;OVZ;PRN;PRT;PRV;PSN;SPA;SPP;STC;TAN;TAP;TNA;TRA;TRK;TRP;VIS;VNN;VTS;VUD;VVO;Celkem
Borovany;Milevsko;0;0;43;2;14;0;0;0;0;0;0;0;150;15;0;0;22;0;0;2;0;0;0;0;0;1;0;6;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;13;2;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;322
Borovany;TrhovÈ Sviny;3;0;572;62;230;0;0;5;0;0;9;0;2410;227;0;3;195;1;7;18;4;0;0;0;0;10;0;27;11;0;0;0;12;4;0;10;0;1;8;0;1;0;0;2;2;1;2;0;4;42;6;0;0;0;0;0;0;3;0;0;1;0;2;0;1;1;9;36;3;4;0;0;12;0;0;0;1;0;1;0;2;0;0;69;80;3;168;9;0;0;4;30;1;0;17;0;2;0;0;0;0;0;4;0;0;0;0;85;0;0;0;0;0;0;0;7;12;5;0;0;0;0;0;0;0;0;0;0;0;10;3;105;0;5;1;0;0;0;0;1;12;0;0;0;0;0;0;4598
Borovn·;TelË;0;0;7;0;2;0;0;0;0;0;0;0;52;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84
Borovnice;»eskÈ BudÏjovice;0;0;26;7;1;0;0;0;0;0;0;0;84;4;0;0;6;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;152
Borovnice;Dv˘r Kr·lovÈ nad Labem;0;0;77;12;17;0;0;0;0;0;3;0;212;27;0;0;22;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;1;11;1;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;428
Borovnice;Kostelec nad OrlicÌ;0;0;58;11;14;0;0;0;0;0;1;0;246;33;0;0;24;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;5;0;0;0;1;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;12;1;21;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;473
Borovnice;NovÈ MÏsto na MoravÏ;0;0;23;1;4;0;0;0;0;0;0;0;77;14;0;0;5;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;160
Borovnice;Vlaöim;0;0;14;3;2;0;0;0;0;0;1;0;55;7;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;5;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;114
BorovniËka;Dv˘r Kr·lovÈ nad Labem;0;0;22;2;13;0;0;0;0;0;0;0;91;20;0;0;9;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;199
BorovnÌk;Tiönov;0;0;28;7;7;0;0;0;0;0;0;0;65;10;0;0;8;0;0;0;1;0;0;0;0;4;0;3;0;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;1;0;4;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;179
Borovno;Sp·lenÈ Po¯ÌËÌ;0;0;18;0;2;0;0;0;0;0;0;0;69;6;0;0;7;0;2;0;1;0;0;0;0;0;0;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;131
Borovy;P¯eötice;0;0;41;4;7;0;0;2;0;0;0;0;129;16;0;0;15;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261
Boröice;UherskÈ HradiötÏ;2;0;213;15;133;1;0;10;0;0;2;0;1007;120;0;0;54;0;1;4;0;0;0;0;0;4;0;14;0;0;0;0;3;0;1;6;0;1;2;0;2;0;0;1;0;0;0;0;3;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;9;35;0;42;2;0;0;0;0;0;0;22;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;33;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1801
Boröice u Blatnice;UherskÈ HradiötÏ;1;0;85;9;44;0;0;0;0;0;2;0;374;76;0;0;22;0;0;0;1;0;0;0;0;2;0;3;1;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;0;22;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;712
Boröov;Jihlava;0;0;23;0;1;0;0;0;0;0;0;0;83;13;0;0;7;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;160
Boröov nad Vltavou;»eskÈ BudÏjovice;0;0;235;27;175;1;0;15;1;0;1;0;1009;207;0;0;96;0;0;7;2;0;0;0;0;14;2;10;9;0;0;0;6;2;0;4;0;0;0;0;1;0;0;0;5;0;0;0;4;53;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;16;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;20;26;4;54;5;0;0;3;1;1;0;8;0;2;0;0;0;0;0;1;0;0;0;0;29;0;0;0;1;0;0;0;17;2;7;0;0;0;0;0;0;0;0;0;0;0;6;0;38;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2142
Boruöov;Moravsk· T¯ebov·;0;0;37;3;7;0;0;0;0;0;0;0;107;7;0;0;8;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;3;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;222
