"","nazev","typ","subtyp","long","lat","address"
"1","Vojenská nemocnice","Zdravotnictví","Nemocnice",16.631154,49.202605,"Lazaretní 57/2, 615 00 Brno-Židenice-Zábrdovice, Czechia"
"2","Poliklinika IPP s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.579826,49.184699,"Křížkovského 416/22, 603 00 Brno-střed-Pisárky, Czechia"
"3","HOUSE MEDICAL, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.61809,49.209175,"Trávníky 1566/10, 613 00 Brno-sever-Černá Pole, Czechia"
"4","Masarykova univerzita","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.570122,49.177071,"Kamenice 5, 625 00 Brno-Bohunice, Czechia"
"5","Lékařské centrum zdraví a estetické péče s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.606982,49.189737,"Nádražní 203/16, 602 00 Brno-střed-Staré Brno, Czechia"
"6","Nemocnice Yes Visage a.s.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.608661,49.19409,"nám. Svobody 84/15, 602 00 Brno-střed-Brno-město, Czechia"
"7","Centrum ambulantní gynekologie a primární péče, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.587193,49.22334,"Tyršova 1812/42, 612 00 Brno-Královo Pole, Czechia"
"8","Centrum ambulantní gynekologie a primární péče, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.517792,49.221191,"8, Kubíčkova 1115, 635 00 Brno-Bystrc, Czechia"
"9","Centrum ambulantní gynekologie a primární péče, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.610906,49.193179,"Orlí 10, 602 00 Brno-střed, Czechia"
"10","LERAM Medical s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.682045,49.213087,"Horníkova 2485, 628 00 Brno-Líšeň, Czechia"
"11","LERAM Medical s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.519648,49.222215,"7, Páteřní 1216, 635 00 Brno-Brno-Bystrc, Czechia"
"12","SANATORIUM Helios, spol. s r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.604167,49.20834,"Štefánikova 8, 602 00 Brno-Královo Pole, Czechia"
"13","Cellthera, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (nad 5 oborů)",16.604579,49.151704,"Vídeňská 101/119, 619 00 Brno-jih, Czechia"
"14","Centrum plastické chirurgie SurGal Clinic, a.s.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.611142,49.207826,"Drobného 308/40, 602 00 Brno-sever-Černá Pole, Czechia"
"15","Fakultní nemocnice Brno, odborné ambulance","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.570308,49.17955,"Netroufalky 223/1, 625 00 Brno-Bohunice, Czechia"
"16","Mediclinic a.s.","Zdravotnictví","Poskytovatel amb. služeb (nad 5 oborů)",16.598637,49.204632,"Kounicova ul., 60200 Brno - Veveří, 602 00 Brno-Brno-střed, Czechia"
"17","Soukromá klinika LOGO s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.618505,49.037319,"nám. Míru 149, 667 01 Židlochovice, Czechia"
"18","Soukromá klinika LOGO s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.682045,49.213087,"Horníkova 2485, 628 00 Brno-Líšeň, Czechia"
"19","Sdružení zdravotnických zařízení II Brno, p.o., Poliklinika Žerotínovo náměstí","Zdravotnictví","Poskytovatel amb. služeb (nad 5 oborů)",16.602209,49.198399,"Žerotínovo nám. 533/6, 602 00 Brno-střed-Veveří, Czechia"
"20","Revmacentrum MUDr. Mostera, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.640843,49.196792,"Mošnova 2190/12, 615 00 Brno-Židenice, Czechia"
"21","NCA - KEPHAS, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.593181,49.230314,"Božetěchova 79, 612 00 Brno-Královo Pole, Czechia"
"22","Revmacentrum MUDr. Mostera, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.640738,49.19695,"Mošnova 2476/8, 615 00 Brno-Židenice, Czechia"
"23","NCA - KEPHAS, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.65017,49.362014,"B. Němcové 9, 678 01 Blansko-Blansko 1, Czechia"
"24","Canadian Medical s.r.o., Dům U Červeného raka","Zdravotnictví","Poskytovatel amb. služeb (nad 5 oborů)",16.609404,49.193927,"Jánská 2, 602 00 Brno-Brno-střed, Czechia"
"25","SABIL, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.595015,49.206044,"Nerudova 321/7, 602 00 Brno 2, Czechia"
"26","Soukromá klinika LOGO s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.648404,49.353336,"Nádražní 2369/10, 678 01 Blansko-Blansko 1, Czechia"
"27","Soukromá klinika LOGO s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.624125,49.20988,"Merhautova 992/118, 613 00 Brno-sever-Černá Pole, Czechia"
"28","Soukromá klinika LOGO s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.598265,49.17747,"Vsetínská 527/20, 639 00 Brno-střed-Štýřice, Czechia"
"29","TOP MORAVIA HEALTH  s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.656429,49.198676,"Viniční 4049/235, 615 00 Brno-Židenice, Czechia"
"30","AKI, spol. s r. o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.593701,49.182742,"Višňová 827/2, 664 48 Moravany-Brno-střed, Czechia"
"31","Poliklinika Bučovice, příspěvková organizace","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",17.007155,49.148344,"Dvorská 912, 685 01 Bučovice, Czechia"
"32","Fakultní nemocnice Brno","Zdravotnictví","Fakultní nemocnice",16.596913,49.198926,"Obilní trh 602 00, 602 00 Brno-střed, Czechia"
"33","Fakultní nemocnice Brno","Zdravotnictví","Fakultní nemocnice",16.617984,49.203802,"Černopolní 212/9, 613 00 Brno-sever, Czechia"
"34","Fakultní nemocnice Brno","Zdravotnictví","Fakultní nemocnice",16.576574,49.174381,"Jihlavská 340/20, 625 00 Brno 25, Czechia"
"35","NCA - KEPHAS, s.r.o.","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.593931,49.191055,"Mendlovo nám. 907/1A, 603 00 Brno-střed-Staré Brno, Czechia"
"36","Nemocnice Milosrdných bratří, příspěvková organizace","Zdravotnictví","Nemocnice",16.596913,49.185628,"Polní 3, 639 00 Brno-Brno-střed, Czechia"
"37","DRUŽSTVO LÉKAŘŮ, družstvo","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.591824,49.035475,"Nádražní 195, 664 62 Hrušovany u Brna, Czechia"
"38","SurGal Clinic s.r.o.","Zdravotnictví","Nemocnice",16.611555,49.207477,"Drobného 38, 602 00 Brno-Brno-sever, Czechia"
"39","SANOFYTO, s. r. o.","Zdravotnictví","Poskytovatel amb. služeb (nad 5 oborů)",16.656429,49.198676,"Viniční 4049/235, 615 00 Brno-Židenice, Czechia"
"40","Nemocnice Vyškov, příspěvková organizace","Zdravotnictví","Nemocnice",16.979921,49.277514,"Purkyňova 235/36, Nosálovice, 682 01 Vyškov-Vyškov 1, Czechia"
"41","Nemocnice Blansko","Zdravotnictví","Nemocnice",16.652183,49.361559,"Sadová 1596/33, 678 01 Blansko-Blansko 1, Czechia"
"42","Sdružení zdravotnických zařízení II Brno, p.o., Poliklinika Zahradníkova","Zdravotnictví","Poskytovatel amb. služeb (nad 5 oborů)",16.594005,49.206076,"Zahradníkova 494/2, 602 00 Brno-střed-Veveří, Czechia"
"43","Nemocnice Ivančice, příspěvková organizace","Zdravotnictví","Nemocnice",16.371936,49.102445,"Široká 390, 664 91 Ivančice, Czechia"
"44","Úrazová nemocnice v Brně","Zdravotnictví","Nemocnice",16.615269,49.197687,"Ponávka 139/6, 602 00 Brno-střed-Zábrdovice, Czechia"
"45","Masarykův onkologický ústav","Zdravotnictví","Nemocnice",16.589089,49.194535,"Žlutý kopec 543/7, 602 00 Brno-Brno-střed, Czechia"
"46","Centrum kardiovaskulární a transplantační chirurgie Brno","Zdravotnictví","Nemocnice",16.598772,49.191327,"Pekařská 664, 602 00 Brno-střed, Czechia"
"47","Fakultní nemocnice u sv. Anny v Brně, Klinika pracovního lékařství","Zdravotnictví","Poskytovatel amb. služeb (do 5 oborů)",16.589933,49.189085,"Výstavní 760/17, 603 00 Brno-Brno-střed, Czechia"
"48","Fakultní nemocnice U sv. Anny v Brně","Zdravotnictví","Fakultní nemocnice",16.590174,49.2257,"Berkova 34, 612 00 Brno-Brno-Královo Pole, Czechia"
"49","MUDr. Jiří Rašovský - prevmed s.r.o.","Zdravotnictví","Soukromá ordinace",16.532826,49.30143,"Dr. Vališe 378, 664 34 Kuřim, Czechia"
"50","Mgr. Radim Kasal","Zdravotnictví","Soukromá ordinace",16.595143,49.185399,"Vídeňská 6, 639 00 Brno-střed, Czechia"
"51","Ordinace Tuřany s.r.o.","Zdravotnictví","Soukromá ordinace",16.662362,49.147458,"Holásecká 31, 620 00 Brno-Tuřany, Czechia"
"52","MUDr. Lucie Dokoupilová s.r.o.","Zdravotnictví","Soukromá ordinace",16.662362,49.147458,"Holásecká 31, 620 00 Brno-Tuřany, Czechia"
"53","MUDr. JITKA SMUTNÁ","Zdravotnictví","Soukromá ordinace",16.982615,49.276876,"Puškinova 409/63, 682 01 Vyškov-Vyškov 1, Czechia"
"54","MUDr. ONDŘEJ ŠEDIVÝ","Zdravotnictví","Soukromá ordinace",16.600978,49.19767,"Marešova 12, 602 00 Brno-střed, Czechia"
"55","Praktik Tišnov s.r.o.","Zdravotnictví","Soukromá ordinace",16.424039,49.349797,"nám. Míru 24, 666 01 Tišnov-Tišnov 1, Czechia"
"56","Třetí zuby s.r.o.","Zdravotnictví","Soukromá ordinace",16.525116,48.98322,"Brněnská 1, 691 23 Pohořelice, Czechia"
"57","Neurologie MUDr. Zvolský s.r.o.","Zdravotnictví","Soukromá ordinace",16.982615,49.276876,"Puškinova 409/63, 682 01 Vyškov-Vyškov 1, Czechia"
"58","Dětský lékař Bílovice s.r.o.","Zdravotnictví","Soukromá ordinace",16.673005,49.245428,"Svatopluka Čecha 173, 664 01 Bílovice nad Svitavou, Czechia"
"59","Mgr. Hana Vinterová","Zdravotnictví","Soukromá ordinace",16.582621,49.209986,"Sirotkova 43, 616 00 Brno-Brno-Žabovřesky, Czechia"
"60","Praktik Předklášteří s.r.o.","Zdravotnictví","Soukromá ordinace",16.424659,49.356867,"Králova 1742, 666 01 Tišnov-Tišnov 1, Czechia"
"61","Praktik Wolfová s.r.o.","Zdravotnictví","Soukromá ordinace",16.597833,49.217608,"Palackého tř. 1-3, 612 00 Brno-Královo Pole, Czechia"
"62","Stomatologie a parodontologie Kozumplíková s.r.o.","Zdravotnictví","Soukromá ordinace",16.644656,49.223668,"Obřanská 43, 614 00 Brno-Maloměřice a Obřany, Czechia"
